feature,importance,importance_std,rank
SpeakerTurns,0.052186221044356426,0.073767263892718,1
FrameSFlux_Hist0,0.0470674655919356,0.0674082858910731,2
SpeechContinuity,0.027900642226800606,0.03929181757477795,3
DSI,0.020418938138307047,0.031139572737281275,4
RT60_Est,0.01687927772338253,0.029406142934588902,5
DCOffset,0.009128567541781414,0.018268301641083718,6
FrameSNR_Hist0,0.009058054491541439,0.017306699940766345,7
FrameSC_Hist1,0.00875592436423575,0.018214324027030514,8
C50_Est,0.008622024635111135,0.016935224964909835,9
Tremor_Intensity,0.008455371102123745,0.014126587098274536,10
FrameE_Hist8,0.0061879954730107425,0.012698159437780156,11
SegmentalSNR,0.006104413049611533,0.014338392415101915,12
FrameMFCCVar_Hist0,0.006013480994208354,0.011266249561405008,13
FrameE_P95,0.005782054645775936,0.011246284755614877,14
FrameSC_Hist0,0.005690805805073837,0.012859412549114753,15
FrameE_Mean,0.005466337329184338,0.012612946723071287,16
ModulationDepth,0.005307995269954413,0.012290783760561504,17
FrameDeltaMFCC_Range,0.005253047031275458,0.007677629038335996,18
FrameE_P5,0.00501496872229572,0.010558340453900084,19
FrameSC_P5,0.00476272539056742,0.00889611604009599,20
FrameMFCCVar_Range,0.004760588920103439,0.006811341827388286,21
AGC_Activity,0.004625292206531552,0.010889722022824408,22
FrameDeltaDeltaMFCC_Range,0.004401048184675505,0.006614860995674653,23
OnsetStrengthMean,0.004400768821927896,0.007270165045975443,24
FrameSNR_Range,0.004292130499810969,0.008556861106961378,25
Shimmer,0.004257596471368132,0.0078885329189361,26
FrameDeltaDeltaMFCC_IQR,0.004195394311959237,0.007503919307123447,27
FrameSHR_Range,0.004106936518586467,0.006529991724228748,28
FrameGNE_Hist0,0.004015998741784422,0.008044616893490049,29
FrameDeltaMFCC_Median,0.003967530038221088,0.006971920709769473,30
FrameE_Hist2,0.003953504455162379,0.009152890475306654,31
SubbandSNR_Mid,0.003887173731251194,0.010211013931058647,32
FrameHNR_Hist0,0.0038151464808063593,0.007385095871517376,33
SpectralFluxStd,0.003813897427954311,0.007071336192167207,34
FrameSC_Hist3,0.0038127094121528445,0.007192402430312193,35
FrameSC_Skew,0.0037729813797123223,0.00704216985042466,36
FrameDeltaMFCC_Skew,0.003752283735178806,0.006418415030664882,37
FrameSFlux_Hist7,0.0037340603461942473,0.00730194770901319,38
WADA_SNR,0.0037139911649892313,0.009212285686169625,39
FrameSNR_Hist6,0.0036431572820452627,0.009796522422568397,40
FrameDeltaMFCC_Kurt,0.0035846866229317822,0.006015004405585773,41
InterruptionCount,0.0035809226619836695,0.009326222508863726,42
FrameDeltaDeltaMFCC_Kurt,0.0035351939514357126,0.005643613463854378,43
ShimmerAPQ11,0.0034547749703476875,0.005914365261244066,44
FrameSBW_Hist2,0.0034486377993242392,0.007676873758482783,45
LongestPause,0.003380409376567439,0.010987191415443232,46
FrameSC_Kurt,0.0032800159321870414,0.006127773743574495,47
FrameSNR_Hist5,0.0032367922849062354,0.00759662558004158,48
FrameE_Hist3,0.0032072640329197147,0.0077587066635472005,49
FrameE_Hist9,0.003117143638305143,0.0059042235876081055,50
FrameDeltaDeltaMFCC_Std,0.0031156675888636704,0.004796779756681687,51
FrameSS_Range,0.0031143335060569823,0.00523716768770367,52
SRMR,0.003072684921432833,0.0047364994933790155,53
FrameE_Hist4,0.003070223095118704,0.007091987645848111,54
ShimmerAPQ3,0.003022838920596963,0.004875989486440518,55
FrameDeltaMFCC_Mean,0.0029609762885601638,0.004127930473616204,56
FrameSF_P5,0.002944227973011423,0.0038057480908590203,57
FramePC_Range,0.002907049742910561,0.0064856049432399174,58
SubbandSNR_Low,0.0028724603552217317,0.007890506011261551,59
FrameHNR_Median,0.0028341685902438735,0.007613046708322416,60
FrameSBW_Hist0,0.0028020268900529307,0.007333674106407761,61
FrameSNR_P95,0.0027661302223347516,0.0054372200518267915,62
FrameGNE_P95,0.0027320542767288007,0.004216437510050096,63
FrameE_Hist5,0.0026785475009322036,0.004098760461969384,64
FrameSC_Mean,0.002673995209088541,0.004172361234303161,65
QuantizationNoise,0.0026419857266252256,0.002573220970104765,66
FrameSC_Hist6,0.0026177245484774896,0.007791126599555507,67
FrameDeltaMFCC_Std,0.002598725018737454,0.0029611538769181802,68
PauseDurationMean,0.0025434775343135536,0.008348613863252792,69
FrameZCR_Range,0.0025253991150047464,0.0034435931062653177,70
FrameE_Range,0.002475060945794063,0.004019893842172822,71
FrameCPP_Kurt,0.0024625632653175822,0.0034436148393146805,72
FrameSNR_Hist7,0.0024457661891721795,0.007415559151363479,73
FrameSBW_Range,0.002432610153939787,0.0032953078570561833,74
FrameDeltaMFCC_Hist2,0.0024312423560075465,0.006301055069206855,75
FrameSKurt_Kurt,0.002391310640845777,0.0024296116059937373,76
FrameDeltaDeltaMFCC_P5,0.002362735955938677,0.002804584872608395,77
FrameHNR_Hist2,0.0023584356399662795,0.003457011939892985,78
FramePC_Hist8,0.0023359245598426545,0.005116675388441664,79
FrameE_Hist6,0.0023352311470474264,0.0027330292087777174,80
FrameHNR_Range,0.002316152135189746,0.00285299421018986,81
FrameDeltaMFCC_P5,0.002309355078787254,0.0021517017111846552,82
FrameAC_Hist6,0.0022796694848261647,0.002789281777133615,83
FrameAC_Skew,0.002263703846769726,0.004264532876800108,84
FrameDeltaDeltaMFCC_Hist0,0.002251215061636834,0.0034611376799038624,85
