n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
1000,10,0.191394,0.808606,0.806585,0.002552
1000,sqrt,0.191443,0.808557,0.805254,0.001749
1000,8,0.192133,0.807867,0.808261,0.003079
1000,12,0.192232,0.807768,0.80486,0.004053
750,sqrt,0.192528,0.807472,0.804761,0.003143
1000,5,0.192577,0.807423,,
750,5,0.192774,0.807226,,
750,10,0.19307,0.80693,,
750,8,0.193119,0.806881,,
500,sqrt,0.193513,0.806487,,
750,12,0.193711,0.806289,,
500,10,0.194056,0.805944,,
500,5,0.194351,0.805649,,
400,8,0.19514,0.80486,,
400,sqrt,0.195731,0.804269,,
400,5,0.195781,0.804219,,
500,8,0.195781,0.804219,,
400,12,0.196471,0.803529,,
300,8,0.197161,0.802839,,
500,12,0.197851,0.802149,,
300,sqrt,0.198097,0.801903,,
400,10,0.198147,0.801853,,
300,12,0.198837,0.801163,,
300,10,0.198886,0.801114,,
200,12,0.200463,0.799537,,
300,5,0.201252,0.798748,,
200,sqrt,0.201548,0.798452,,
200,8,0.20209,0.79791,,
200,10,0.202632,0.797368,,
200,5,0.204653,0.795347,,
