n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
750,5,0.203864,0.796136,0.792045,0.009947
1000,5,0.204357,0.795643,0.792735,0.009497
1000,sqrt,0.204407,0.795593,0.791749,0.009271
500,sqrt,0.20559,0.79441,0.790566,0.008897
750,sqrt,0.205737,0.794263,0.790813,0.008837
500,5,0.206871,0.793129,,
400,5,0.207019,0.792981,,
300,5,0.207068,0.792932,,
400,sqrt,0.208596,0.791404,,
1000,8,0.209878,0.790122,,
200,5,0.210962,0.789038,,
750,8,0.21111,0.78889,,
300,sqrt,0.211455,0.788545,,
1000,10,0.212047,0.787953,,
400,8,0.212737,0.787263,,
500,8,0.212737,0.787263,,
750,10,0.213082,0.786918,,
1000,12,0.213328,0.786672,,
750,12,0.213476,0.786524,,
500,12,0.213673,0.786327,,
500,10,0.214462,0.785538,,
400,10,0.21456,0.78544,,
300,8,0.214659,0.785341,,
400,12,0.214757,0.785243,,
200,sqrt,0.214807,0.785193,,
300,10,0.216187,0.783813,,
300,12,0.217222,0.782778,,
200,10,0.217912,0.782088,,
200,8,0.218356,0.781644,,
200,12,0.221362,0.778638,,
