n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
750,5,0.206477,0.793523,0.793129,0.00398
1000,5,0.206575,0.793425,0.792784,0.003715
500,5,0.20692,0.79308,0.792094,0.003176
1000,8,0.207955,0.792045,0.788643,0.003733
400,8,0.208202,0.791798,0.788101,0.003171
750,8,0.208251,0.791749,,
400,5,0.208448,0.791552,,
500,8,0.209533,0.790467,,
300,5,0.209582,0.790418,,
1000,sqrt,0.210026,0.789974,,
750,10,0.21111,0.78889,,
300,8,0.211159,0.788841,,
1000,10,0.211209,0.788791,,
500,sqrt,0.211356,0.788644,,
750,sqrt,0.211455,0.788545,,
500,10,0.211603,0.788397,,
200,5,0.211751,0.788249,,
200,8,0.2118,0.7882,,
300,sqrt,0.212884,0.787116,,
400,sqrt,0.213229,0.786771,,
200,sqrt,0.213525,0.786475,,
750,12,0.213772,0.786228,,
1000,12,0.214067,0.785933,,
500,12,0.214166,0.785834,,
400,10,0.214412,0.785588,,
300,12,0.215004,0.784996,,
300,10,0.21525,0.78475,,
400,12,0.2153,0.7847,,
200,10,0.216088,0.783912,,
200,12,0.217173,0.782827,,
