n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
1000,12,0.205097,0.794903,0.79377,0.002769
500,8,0.206033,0.793967,0.790615,0.00253
500,12,0.20628,0.79372,0.793671,0.003554
750,12,0.206477,0.793523,0.793622,0.003412
1000,10,0.206526,0.793474,0.791946,0.003832
300,10,0.206822,0.793178,,
400,10,0.20692,0.79308,,
750,8,0.20692,0.79308,,
750,10,0.20697,0.79303,,
300,12,0.207019,0.792981,,
400,8,0.207019,0.792981,,
500,10,0.207167,0.792833,,
400,12,0.207364,0.792636,,
200,12,0.207413,0.792587,,
1000,8,0.207463,0.792537,,
1000,sqrt,0.207758,0.792242,,
400,sqrt,0.207906,0.792094,,
750,sqrt,0.207906,0.792094,,
200,10,0.207955,0.792045,,
200,8,0.208153,0.791847,,
300,sqrt,0.208153,0.791847,,
500,sqrt,0.208843,0.791157,,
300,8,0.208892,0.791108,,
500,5,0.208892,0.791108,,
750,5,0.209138,0.790862,,
200,sqrt,0.209336,0.790664,,
1000,5,0.209336,0.790664,,
400,5,0.210075,0.789925,,
300,5,0.210321,0.789679,,
200,5,0.210666,0.789334,,
