n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
1000,8,0.196372,0.803628,0.801804,0.003064
750,8,0.197013,0.802987,0.800769,0.002778
750,12,0.197161,0.802839,0.79791,0.00363
1000,sqrt,0.197457,0.802543,0.801755,0.001526
750,sqrt,0.197703,0.802297,0.801557,0.001681
500,10,0.197802,0.802198,,
500,5,0.198147,0.801853,,
750,5,0.198393,0.801607,,
750,10,0.198393,0.801607,,
1000,10,0.19859,0.80141,,
1000,12,0.19864,0.80136,,
1000,5,0.198837,0.801163,,
500,8,0.199083,0.800917,,
400,sqrt,0.199132,0.800868,,
500,12,0.199379,0.800621,,
400,5,0.199478,0.800522,,
500,sqrt,0.199478,0.800522,,
400,12,0.199576,0.800424,,
400,8,0.199823,0.800177,,
300,12,0.200069,0.799931,,
300,sqrt,0.200414,0.799586,,
300,8,0.20071,0.79929,,
400,10,0.200808,0.799192,,
300,5,0.201351,0.798649,,
200,12,0.202829,0.797171,,
200,sqrt,0.203125,0.796875,,
300,10,0.203667,0.796333,,
200,8,0.204308,0.795692,,
200,5,0.206625,0.793375,,
200,10,0.206723,0.793277,,
