n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
1000,12,0.198393,0.801607,0.799142,0.000928
1000,sqrt,0.198393,0.801607,0.799142,0.000928
750,12,0.198492,0.801508,0.79929,0.002295
750,sqrt,0.198492,0.801508,0.79929,0.002295
1000,10,0.199034,0.800966,0.800868,0.003104
750,10,0.199379,0.800621,,
1000,8,0.199724,0.800276,,
500,10,0.200069,0.799931,,
500,12,0.200168,0.799832,,
500,sqrt,0.200168,0.799832,,
750,8,0.200168,0.799832,,
1000,5,0.200266,0.799734,,
400,10,0.200463,0.799537,,
300,10,0.200611,0.799389,,
500,8,0.201055,0.798945,,
400,12,0.201104,0.798896,,
400,sqrt,0.201104,0.798896,,
750,5,0.201498,0.798502,,
300,12,0.202336,0.797664,,
300,sqrt,0.202336,0.797664,,
500,5,0.202731,0.797269,,
400,8,0.202977,0.797023,,
300,8,0.204949,0.795051,,
200,10,0.205392,0.794608,,
200,12,0.205836,0.794164,,
200,sqrt,0.205836,0.794164,,
300,5,0.205836,0.794164,,
400,5,0.206082,0.793918,,
200,8,0.207561,0.792439,,
200,5,0.210716,0.789284,,
