n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
1000,10,0.191443,0.808557,0.806487,0.003388
750,12,0.192183,0.807817,0.805205,0.003685
1000,sqrt,0.192281,0.807719,0.807029,0.004246
1000,12,0.192528,0.807472,0.805057,0.003602
750,8,0.192774,0.807226,0.806092,0.004235
1000,8,0.192774,0.807226,,
500,sqrt,0.192922,0.807078,,
750,5,0.19307,0.80693,,
1000,5,0.193267,0.806733,,
400,12,0.193316,0.806684,,
750,10,0.193316,0.806684,,
500,8,0.193464,0.806536,,
300,10,0.193612,0.806388,,
500,12,0.193711,0.806289,,
400,sqrt,0.193809,0.806191,,
500,5,0.194351,0.805649,,
400,5,0.194401,0.805599,,
300,8,0.194598,0.805402,,
750,sqrt,0.194746,0.805254,,
300,12,0.194844,0.805156,,
400,10,0.194894,0.805106,,
300,sqrt,0.195288,0.804712,,
500,10,0.195288,0.804712,,
300,5,0.195337,0.804663,,
400,8,0.195485,0.804515,,
200,12,0.195633,0.804367,,
200,8,0.196422,0.803578,,
200,5,0.197112,0.802888,,
200,10,0.197752,0.802248,,
200,sqrt,0.197752,0.802248,,
