n_estimators,max_features,oob_error,oob_accuracy,cv_accuracy_mean,cv_accuracy_std
500,10,0.191838,0.808162,0.80417,0.004028
750,5,0.192478,0.807522,0.8056,0.004756
500,5,0.192774,0.807226,0.804022,0.00509
400,5,0.192971,0.807029,0.803825,0.004396
750,10,0.19307,0.80693,0.803036,0.005574
750,sqrt,0.19307,0.80693,,
1000,10,0.193267,0.806733,,
1000,sqrt,0.193316,0.806684,,
750,8,0.193366,0.806634,,
400,10,0.193612,0.806388,,
1000,8,0.19376,0.80624,,
400,8,0.193908,0.806092,,
1000,12,0.194105,0.805895,,
300,sqrt,0.194203,0.805797,,
500,sqrt,0.194203,0.805797,,
1000,5,0.194203,0.805797,,
400,sqrt,0.194253,0.805747,,
500,12,0.194598,0.805402,,
500,8,0.194795,0.805205,,
300,12,0.194894,0.805106,,
750,12,0.194992,0.805008,,
300,5,0.195239,0.804761,,
300,10,0.195386,0.804614,,
400,12,0.195584,0.804416,,
200,8,0.195879,0.804121,,
200,sqrt,0.196767,0.803233,,
200,10,0.196816,0.803184,,
300,8,0.197161,0.802839,,
200,12,0.198837,0.801163,,
200,5,0.199034,0.800966,,
