row_idx,filename,speaker_id,dataset_source,label,speech_duration,score_P1,score_P2,score_P3
680692,D:\VQI\Datasets\voxCELEB2\dev\wav\id04814\R3s7y59onTY\00237.wav,id04814,voxceleb2_dev,1,6.97,11.511927,10.854116,9.708427
270716,D:\VQI\Datasets\voxCELEB2\dev\wav\id01108\WrmdELZ9VZ8\00124.wav,id01108,voxceleb2_dev,1,19.81,11.818251,11.470646,10.357665
884161,D:\VQI\Datasets\voxCELEB2\dev\wav\id06624\AW9605dKbz0\00079.wav,id06624,voxceleb2_dev,0,5.77,-0.135428,-1.144025,0.082498
276934,D:\VQI\Datasets\voxCELEB2\dev\wav\id01164\cGR3msb85Ik\00033.wav,id01164,voxceleb2_dev,0,5.35,0.978643,0.905229,0.693546
1102910,D:\VQI\Datasets\voxCELEB2\dev\wav\id08521\eS6xIkzNnSI\00181.wav,id08521,voxceleb2_dev,0,15.27,3.031455,2.658434,1.887331
986371,D:\VQI\Datasets\voxCELEB2\dev\wav\id07497\BPMh_m1vQ8s\00067.wav,id07497,voxceleb2_dev,0,4.32,2.793424,0.599531,1.976882
280995,D:\VQI\Datasets\voxCELEB2\dev\wav\id01200\vQccn5kXeuQ\00077.wav,id01200,voxceleb2_dev,0,11.94,3.847604,2.642489,2.283031
189665,D:\VQI\Datasets\voxCELEB2\dev\wav\id00422\gIyQPLUlFww\00063.wav,id00422,voxceleb2_dev,1,14.41,11.737864,12.533824,10.372675
1107815,D:\VQI\Datasets\voxCELEB2\dev\wav\id08551\R0Uo5RhlPEw\00058.wav,id08551,voxceleb2_dev,1,29.67,11.39351,12.407208,9.791176
296195,D:\VQI\Datasets\voxCELEB2\dev\wav\id01328\J8TuPJ8XJBQ\00074.wav,id01328,voxceleb2_dev,1,10.28,11.909067,11.089365,10.723866
1095295,D:\VQI\Datasets\voxCELEB2\dev\wav\id08454\n3eF0RTIbjE\00196.wav,id08454,voxceleb2_dev,0,4.01,0.69215,1.257887,0.361772
102416,D:\VQI\Datasets\voxCELEB1\wav\id10931\25JZsQXJqm8\00001.wav,id10931,voxceleb1_dev,1,9.51,11.935106,11.844889,9.644986
766591,D:\VQI\Datasets\voxCELEB2\dev\wav\id05622\E59bY_FPWLM\00127.wav,id05622,voxceleb2_dev,1,18.73,12.720215,11.659216,10.757111
717484,D:\VQI\Datasets\voxCELEB2\dev\wav\id05141\X2tFZI0x7pQ\00248.wav,id05141,voxceleb2_dev,1,10.15,11.78418,11.180939,10.504731
860617,D:\VQI\Datasets\voxCELEB2\dev\wav\id06415\y4Np6D14fLE\00456.wav,id06415,voxceleb2_dev,0,4.68,3.227041,2.395195,1.900182
790791,D:\VQI\Datasets\voxCELEB2\dev\wav\id05813\4FVHXY4r6lk\00029.wav,id05813,voxceleb2_dev,0,16.71,2.443281,1.471431,2.404473
1207841,D:\VQI\Datasets\VOiCES\VOiCES_devkit\distant-16k\speech\train\rm4\babb\sp5968\Lab41-SRI-VOiCES-rm4-babb-sp5968-ch061356-sg0022-mc01-stu-clo-dg160.wav,sp5968,voices,1,15.87,11.946187,12.413988,11.59589
1164566,D:\VQI\Datasets\voxCELEB2\dev\wav\id09005\NLxGFWN-wEw\00079.wav,id09005,voxceleb2_dev,1,11.62,11.747264,11.369738,9.774527
219120,D:\VQI\Datasets\voxCELEB2\dev\wav\id00700\1rXH8KA0zR4\00002.wav,id00700,voxceleb2_dev,0,4.68,3.902527,3.301713,3.066601
712583,D:\VQI\Datasets\voxCELEB2\dev\wav\id05091\4PTi5W8ZPis\00044.wav,id05091,voxceleb2_dev,1,9.24,11.78164,11.110688,9.743955
268576,D:\VQI\Datasets\voxCELEB2\dev\wav\id01098\ub0v408586I\00473.wav,id01098,voxceleb2_dev,0,5.86,0.590692,1.333997,0.654784
292100,D:\VQI\Datasets\voxCELEB2\dev\wav\id01280\HkLSdKZg5C8\00083.wav,id01280,voxceleb2_dev,1,8.09,12.262246,11.783091,10.344753
827377,D:\VQI\Datasets\voxCELEB2\dev\wav\id06119\vg57yNwnn98\00261.wav,id06119,voxceleb2_dev,0,4.71,4.192596,4.296877,4.232127
402961,D:\VQI\Datasets\voxCELEB2\dev\wav\id02281\PlZEgPGNXv8\00135.wav,id02281,voxceleb2_dev,1,4.2,11.806681,11.987447,10.450909
1202636,D:\VQI\Datasets\VOiCES\VOiCES_devkit\distant-16k\speech\train\rm2\none\sp1116\Lab41-SRI-VOiCES-rm2-none-sp1116-ch137572-sg0003-mc05-stu-far-dg060.wav,sp1116,voices,1,14.01,11.781534,11.853327,11.648785
1048399,D:\VQI\Datasets\voxCELEB2\dev\wav\id08049\0XGfltayxpw\00006.wav,id08049,voxceleb2_dev,0,4.52,2.196676,1.901333,2.287094
27834,D:\VQI\Datasets\voxCELEB1\wav\id10243\YoncqtvJwlI\00002.wav,id10243,voxceleb1_dev,0,4.41,0.599967,1.238573,1.90432
998953,D:\VQI\Datasets\voxCELEB2\dev\wav\id07585\3Zv3u_bxwhs\00016.wav,id07585,voxceleb2_dev,1,16.1,11.668415,11.790573,9.745194
884626,D:\VQI\Datasets\voxCELEB2\dev\wav\id06631\Kcui-NWlruA\00010.wav,id06631,voxceleb2_dev,1,4.97,11.221897,11.318928,10.415589
653929,D:\VQI\Datasets\voxCELEB2\dev\wav\id04588\Fl7LkQA3FDM\00155.wav,id04588,voxceleb2_dev,1,4.39,11.54933,10.975065,9.789169
