feature,importance,importance_std,rank
V_LTFD_Entropy,0.120425210137485,0.09580632995516665,1
V_DeltaMFCC_Mean_1,0.029095778005414522,0.02778867388842974,2
V_F0_Slope,0.022321401382637097,0.020481950118268095,3
V_DeltaMFCC_Mean_3,0.02005102133862921,0.019953180263594945,4
V_DeltaMFCC_Mean_6,0.01658595951111524,0.01685271157779826,5
V_LTAS_500_1000,0.014315929324383945,0.012492234064438551,6
V_DeltaMFCC_Mean_5,0.013938272746930925,0.013342988446346212,7
V_DeltaMFCC_Mean_4,0.013808549156395343,0.01429825400616778,8
V_DeltaMFCC_Mean_7,0.01320628227595364,0.014405298528974151,9
V_DeltaMFCC_Mean_12,0.01318012112875784,0.013454500051147119,10
V_DeltaMFCC_Mean_2,0.01313524341659983,0.012769959184118301,11
V_LTFD_Range,0.013055267484095419,0.009582154719311153,12
V_LTAS_1000_2000,0.013047687165739386,0.01139595901245536,13
V_Rhythm_TempoVar,0.012577290692529764,0.011739599315119574,14
V_DeltaMFCC_Mean_10,0.012545779430607975,0.012308452677411479,15
V_MFCC_Std_1,0.012301790301127291,0.00859954613189918,16
V_F0_Range,0.012079336391587859,0.010557271282613492,17
V_Rhythm_SpeechSegVar,0.012038160831291177,0.01528267871359374,18
V_DeltaMFCC_Mean_13,0.01202834435967681,0.011661132878223372,19
V_LTAS_0_500,0.012009725935010386,0.01059867687366437,20
V_DeltaMFCC_Mean_9,0.011467461413269694,0.011222150767532735,21
V_DeltaMFCC_Mean_11,0.010627508082692258,0.009891024989390323,22
V_DeltaMFCC_Mean_8,0.010572562436385328,0.01002650885453369,23
V_LSF_Mean_14,0.01041969917037742,0.008747328871656352,24
V_LFCC_Mean_11,0.010009065514313109,0.0065517197826329065,25
V_Rhythm_nPVI,0.008492207647834385,0.012553188329718766,26
V_Rhythm_SilenceSegVar,0.008354939191671327,0.011629709497974499,27
V_MFCC_Std_5,0.007722328484765531,0.005403192313109001,28
V_LFCC_Mean_12,0.007413446474858352,0.005473988535943234,29
V_F2_Dynamics,0.007369748206717115,0.004889331054021883,30
V_LTAS_2000_4000,0.007251947539585823,0.005189326649196307,31
V_MFCC_Std_8,0.006768006242135589,0.004407376909867709,32
V_MFCC_Std_4,0.006767210940713481,0.004367425631287534,33
V_MFCC_Std_3,0.006714636862347479,0.005037050026542226,34
V_LSF_Mean_12,0.006602939486848351,0.0046928400895808004,35
V_MFCC_Std_6,0.006505347254899148,0.004526330969235776,36
V_Rhythm_VoicedPct,0.006391581979802838,0.00710342028715916,37
V_MFCC_Mean_10,0.006361618556740882,0.0034441520706279686,38
V_SpectralEntropy_Std,0.006227282337795197,0.0030881858891683967,39
V_MFCC_Mean_8,0.0061998222950556915,0.0026109441288617668,40
V_Rhythm_SpeechSilenceRatio,0.006174948737846046,0.006745260160996918,41
V_LFCC_Mean_3,0.006043800859163873,0.003002557267640443,42
V_SpectralCentroid_Std,0.005965207197870321,0.003683159424166818,43
V_LSF_Mean_13,0.005947910658827819,0.0037324593779499773,44
V_MGDCC_13,0.005935064231177877,0.004504790556669393,45
V_F1_Dynamics,0.005851960769914335,0.0033902761515897965,46
V_F0_Std,0.005756197733642579,0.004048717746825979,47
V_BreathyProportion,0.005748385400680434,0.0026824948933862314,48
V_MGDCC_3,0.0057444066740878945,0.004309131086000551,49
V_LAR_5,0.005701456053518033,0.003250922313135804,50
V_LPCC_Mean_6,0.005690976826045491,0.002642534755209269,51
V_LFCC_Mean_10,0.005640321265934795,0.0026263055434783008,52
V_MGDCC_8,0.005580094598790845,0.003986254208084456,53
V_MFCC_Std_2,0.005529368806734003,0.0031499982590392677,54
V_F3_Dynamics,0.005469123690161986,0.003300493045355447,55
V_RC_3,0.005437865179780184,0.002957685916715851,56
V_F0_Mean,0.005419398845110507,0.0026725504143567903,57
V_MGDCC_10,0.0053645030185965874,0.0035196090018237485,58
V_LSF_Mean_9,0.005314142557776705,0.0024986809634889627,59
V_MFCC_Std_7,0.005246974745018036,0.0030520252399231034,60
V_MGDCC_12,0.005227607635798599,0.003724830445773329,61
V_MFCC_Mean_13,0.005225143225912188,0.0023732150461360023,62
V_MGDCC_11,0.005215329586108506,0.003473834452643692,63
V_OQ,0.005203191813807333,0.0032230005219270413,64
V_ModalProportion,0.005184774830192173,0.0024913919089767176,65
V_LAR_7,0.005160760733494487,0.0026255766002048165,66
V_LPCC_Mean_2,0.00513098444889521,0.003223885494356982,67
