family,paradigm,data_variant,model_id,score_type,accuracy,precision,recall,f1,auc_roc,brier,ms_per_sample,score_min,score_max,score_mean,score_std,erc20_voxceleb1_P1_ECAPA,det_sep_voxceleb1_P1_ECAPA,erc20_voxceleb1_P3_ECAPA2,det_sep_voxceleb1_P3_ECAPA2,erc20_vctk_P1_ECAPA,det_sep_vctk_P1_ECAPA,erc20_vctk_P3_ECAPA2,det_sep_vctk_P3_ECAPA2,erc20_cnceleb_P1_ECAPA,det_sep_cnceleb_P1_ECAPA,erc20_cnceleb_P3_ECAPA2,det_sep_cnceleb_P3_ECAPA2,erc20_vpqad_P1_ECAPA,det_sep_vpqad_P1_ECAPA,erc20_vpqad_P3_ECAPA2,det_sep_vpqad_P3_ECAPA2,erc20_vseadc_P1_ECAPA,det_sep_vseadc_P1_ECAPA,erc20_vseadc_P3_ECAPA2,det_sep_vseadc_P3_ECAPA2,mean_erc20,passes_auc,passes_speed,pos_erc20_voxceleb1_P1_ECAPA,pos_erc20_voxceleb1_P3_ECAPA2,pos_erc20_vctk_P1_ECAPA,pos_erc20_vctk_P3_ECAPA2,pos_erc20_cnceleb_P1_ECAPA,pos_erc20_cnceleb_P3_ECAPA2,pos_erc20_vpqad_P1_ECAPA,pos_erc20_vpqad_P3_ECAPA2,pos_erc20_vseadc_P1_ECAPA,pos_erc20_vseadc_P3_ECAPA2,passes_erc,passes_all,erc20_voxceleb1_P2_RESNET,det_sep_voxceleb1_P2_RESNET,erc20_voxceleb1_P4_XVECTOR,det_sep_voxceleb1_P4_XVECTOR,erc20_voxceleb1_P5_WAVLM,det_sep_voxceleb1_P5_WAVLM,erc20_vctk_P2_RESNET,det_sep_vctk_P2_RESNET,erc20_vctk_P4_XVECTOR,det_sep_vctk_P4_XVECTOR,erc20_vctk_P5_WAVLM,det_sep_vctk_P5_WAVLM,erc20_cnceleb_P2_RESNET,det_sep_cnceleb_P2_RESNET,erc20_cnceleb_P4_XVECTOR,det_sep_cnceleb_P4_XVECTOR,erc20_cnceleb_P5_WAVLM,det_sep_cnceleb_P5_WAVLM,erc20_vpqad_P2_RESNET,det_sep_vpqad_P2_RESNET,erc20_vpqad_P4_XVECTOR,det_sep_vpqad_P4_XVECTOR,erc20_vpqad_P5_WAVLM,det_sep_vpqad_P5_WAVLM,erc20_vseadc_P2_RESNET,det_sep_vseadc_P2_RESNET,erc20_vseadc_P4_XVECTOR,det_sep_vseadc_P4_XVECTOR,erc20_vseadc_P5_WAVLM,det_sep_vseadc_P5_WAVLM,pos_erc20_voxceleb1_P2_RESNET,pos_erc20_voxceleb1_P4_XVECTOR,pos_erc20_voxceleb1_P5_WAVLM,pos_erc20_vctk_P2_RESNET,pos_erc20_vctk_P4_XVECTOR,pos_erc20_vctk_P5_WAVLM,pos_erc20_cnceleb_P2_RESNET,pos_erc20_cnceleb_P4_XVECTOR,pos_erc20_cnceleb_P5_WAVLM,pos_erc20_vpqad_P2_RESNET,pos_erc20_vpqad_P4_XVECTOR,pos_erc20_vpqad_P5_WAVLM,pos_erc20_vseadc_P2_RESNET,pos_erc20_vseadc_P4_XVECTOR,pos_erc20_vseadc_P5_WAVLM
rf,clf,20K,"RF (Clf, 20K)",v,0.7746686303387335,0.918987341772152,0.75,0.825938566552901,0.8812354312354312,0.1602927098674521,7.006751900073142,5,96,54.34977908689249,21.776425467389373,4.972142699172381,1.101124014049573,1.3405048405420217,1.0631856845908114,15.637210882702716,2.8720919922360446,16.413853360192228,2.9155096486714145,4.134830356484792,2.6285840799240194,5.240399970518145,2.602670921214516,1.633236216943084,1.1057352347958145,7.023195876288665,1.6130392921003165,16.353582790486286,1.1326278244191328,0.8635055294652432,1.249436055306388,7.361246252279557,True,True,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
xgboost,clf,20K,"XGBoost (Clf, 20K)",v,0.8586156111929307,0.9419134396355352,0.8543388429752066,0.8959913326110509,0.9344100974782794,0.1084932989690721,0.0388428000733256,0,100,62.48379970544919,40.91552725842229,9.378201935521435,,3.5387875414808083,,7.121807465618871,,5.009823182711203,,0.0,,0.0,,3.149162371134026,0.9699441391883552,7.023195876288665,1.2099249312522242,9.312638580931266,1.102336928608115,-3.195962994112694,1.0640143768978123,4.133765395957358,True,True,True,True,True,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lightgbm,clf,20K,"LightGBM (Clf, 20K)",v,0.8571428571428571,0.9377828054298644,0.856404958677686,0.8952483801295896,0.9277111146429328,0.1139882916053019,0.0743938996456563,0,100,62.86082474226804,41.599523970918064,16.502899638137794,,9.502120262194335,,0.0,,0.0,,0.0,,0.0,,4.973774642792551,0.752701178759896,10.32736480376198,1.1191006768414573,9.312638580931266,,0.2439024390243886,,5.0862700366842315,True,True,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
logreg,clf,20K,"LogReg (Clf, 20K)",v,0.7812960235640648,0.9126691266912668,0.7665289256198347,0.8332397529477822,0.8797507416825598,0.1478381443298969,0.0083102998323738,0,100,57.80559646539028,32.93567924313724,4.105296373740406,0.7097998290337222,-0.9983433150521172,0.6662713300197723,34.576290222946035,2.22025842937175,32.18958836412647,3.717559199214997,20.91407779033548,,20.50059266201725,,2.4926314666382154,0.7251989484809064,-1.3563436070471144,0.8870666439023637,-2.3812580231065428,,-2.3812580231065428,,10.766127391149153,False,True,True,False,True,True,True,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
svm,clf,20K,"SVM (Clf, 20K)",v,0.8755522827687776,0.9473684210526316,0.8739669421487604,0.9091886082751208,0.9435685526594616,0.0939087628865979,1.2727741999551654,0,100,62.772459499263626,37.83386178003671,4.029401182769206,2.2443432019194125,3.3151409750631524,2.2198503436501738,-1.0469580978273718,0.6074007772065265,-3.264887553361476,0.4591406727905223,-4.528046857400311,1.98061830432528,-4.95356812094816,1.9646646596278787,-3.7600020066721767,0.4903500720788977,-12.2055835653548,0.2148949810546168,4.343468092215177,1.1757105943152453,-12.738055462746397,1.1018854869399757,-3.0809091414263157,True,True,True,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mlp,clf,20K,"MLP (Clf, 20K)",v,0.8674521354933726,0.9436936936936936,0.8657024793388429,0.9030172413793104,0.9337081479126934,0.1062949926362297,0.0273984000086784,0,100,63.921944035346094,42.33499308167116,12.798943551689806,,4.810418611873533,,0.0,,0.0,,0.0,,0.0,,19.621050466616964,1.0559582135021768,14.674653572254936,1.742729811080087,5.42999925412099,,-3.721936301931819,,5.361312915462442,True,True,True,True,True,True,True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tabnet,clf,20K,"TabNet (Clf, 20K)",v,0.845360824742268,0.9220489977728286,0.8553719008264463,0.887459807073955,0.9118655965246872,0.1234471281296023,1.555742199998349,0,100,65.100147275405,42.632176685370574,17.071437792878164,,12.980409030348005,,0.0,,0.0,,0.0,,0.0,,-1.788752734603991,1.2265405545912678,0.9622946366015208,2.220182026016119,-1.5793160542571394,,-1.5793160542571394,,2.606675661670942,True,True,True,True,True,True,True,True,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rf,reg,20K,"RF (Reg, 20K)",v,0.833578792341679,0.8567307692307692,0.9204545454545454,0.8874501992031872,0.8803798474253018,0.1537367452135493,7.390772899612783,33,88,62.51767304860088,14.216324595773544,6.598182784785658,1.1507267375395946,4.196607220530665,1.1025080469081907,8.866075594960346,1.731925343448932,8.142790480634627,1.358710673804794,2.049942219765871,2.4990605276694016,3.180425061548517,2.3895237573757715,6.509948125287279,0.7935171907582889,9.036706284063312,1.042593496115418,13.67260787992496,1.0365146235328793,0.8833646028768078,1.101296787503684,6.313665025437804,False,True,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
xgboost,reg,20K,"XGBoost (Reg, 20K)",v,0.865979381443299,0.8898809523809523,0.9266528925619836,0.9078947368421052,0.9255575863530408,0.1235564064801178,0.0384923000819981,21,99,65.10309278350516,19.22526655438411,6.439489429461704,2.028303332279799,4.311602906180087,2.044325317513833,0.5486793415847985,0.804024489086463,0.0637999234400915,0.8988127646423116,-0.8797358271785405,2.065236554947827,-1.5351264147614034,1.978670310085452,5.731851374570457,1.2215863114066707,8.314540378006875,1.5764991828353518,11.801011302795963,1.2985595676367172,2.676977989292088,1.2449696264075074,3.747309040339212,True,True,True,True,True,True,False,False,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lightgbm,reg,20K,"LightGBM (Reg, 20K)",v,0.8696612665684831,0.8966900702106319,0.9235537190082644,0.9099236641221374,0.925090061453698,0.1224991163475699,0.0726374997757375,20,100,65.2459499263623,19.738456530803155,6.116572996912679,1.3452979074249325,2.5282557730281723,1.302705889106893,2.667716690456276,1.4393255089533656,2.716936555593838,1.524235136143418,3.6834791935837776,2.233925802108248,1.4651032398040054,2.23401792428087,4.935633780246794,0.8427084878173916,8.78959457293949,1.1779157535113811,5.294844087681381,1.0846351848554985,2.138005557270771,1.0898674356201692,4.033614244751719,True,True,True,True,True,True,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
