family,paradigm,data_variant,model_id,score_type,accuracy,precision,recall,f1,auc_roc,brier,ms_per_sample,score_min,score_max,score_mean,score_std,erc20_voxceleb1_P1_ECAPA,det_sep_voxceleb1_P1_ECAPA,erc20_voxceleb1_P3_ECAPA2,det_sep_voxceleb1_P3_ECAPA2,erc20_vctk_P1_ECAPA,det_sep_vctk_P1_ECAPA,erc20_vctk_P3_ECAPA2,det_sep_vctk_P3_ECAPA2,erc20_cnceleb_P1_ECAPA,det_sep_cnceleb_P1_ECAPA,erc20_cnceleb_P3_ECAPA2,det_sep_cnceleb_P3_ECAPA2,erc20_vpqad_P1_ECAPA,det_sep_vpqad_P1_ECAPA,erc20_vpqad_P3_ECAPA2,det_sep_vpqad_P3_ECAPA2,erc20_vseadc_P1_ECAPA,det_sep_vseadc_P1_ECAPA,erc20_vseadc_P3_ECAPA2,det_sep_vseadc_P3_ECAPA2,mean_erc20,passes_auc,passes_speed,pos_erc20_voxceleb1_P1_ECAPA,pos_erc20_voxceleb1_P3_ECAPA2,pos_erc20_vctk_P1_ECAPA,pos_erc20_vctk_P3_ECAPA2,pos_erc20_cnceleb_P1_ECAPA,pos_erc20_cnceleb_P3_ECAPA2,pos_erc20_vpqad_P1_ECAPA,pos_erc20_vpqad_P3_ECAPA2,pos_erc20_vseadc_P1_ECAPA,pos_erc20_vseadc_P3_ECAPA2,passes_erc,passes_all
rf,clf,20K,"RF (Clf, 20K)",s,0.7790868924889544,0.9249363867684478,0.7510330578512396,0.8289623717217788,0.8719432083068448,0.1630178203240058,7.038536800071597,3,95,54.013254786450666,22.598333012501616,8.48733739010278,1.6702064018381582,3.7776077918807647,1.6082506616150438,19.39984335226161,2.619941032891614,18.66555707851969,2.2085718040234608,7.353834933754716,2.8375898518170075,7.54831651877963,2.748941278013519,14.031497694658864,1.069320142333405,12.785577371393048,3.036282411924681,7.633242999096666,1.258298225456402,-10.840108401084,1.210744965497817,8.884270672936378,True,True,True,True,True,True,True,True,True,True,True,False,False,False
xgboost,clf,20K,"XGBoost (Clf, 20K)",s,0.8291605301914581,0.9329411764705884,0.8192148760330579,0.8723872387238724,0.9140562089425726,0.1312731958762886,0.045194000005722,0,100,61.60530191458027,42.90269191277461,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,11.587948533525132,1.2202537592587637,5.181278137403778,0.9850026154582808,6.185488187170272,1.0041053458420406,-0.068812600351701,1.061768580950167,2.288590225774748,True,True,True,True,True,True,True,True,True,True,True,False,False,False
lightgbm,clf,20K,"LightGBM (Clf, 20K)",s,0.8357879234167894,0.9418742586002372,0.8202479338842975,0.8768636112644947,0.9215445539309176,0.126540353460972,0.107152400072664,0,100,61.31222385861561,42.02215224317656,26.113020123819688,,19.276209276859856,,0.0,,0.0,,0.0,,0.0,,14.849526189732382,,14.849526189732382,,14.410448838216205,,-0.3463703276085978,,8.91523602907519,True,True,True,True,True,True,True,True,True,True,True,False,False,False
logreg,clf,20K,"LogReg (Clf, 20K)",s,0.7997054491899853,0.9328358208955224,0.7747933884297521,0.8465011286681715,0.8815758105530834,0.1451379970544919,0.0085420999675989,0,100,57.80265095729013,33.03161682696819,11.873009903563544,1.0996925185654285,8.946283295194803,1.1125475636210864,36.77467273233684,,33.95846872775664,,0.0,,0.0,,9.72508591065293,0.896026080298319,5.9106529209622085,1.0677547988436218,17.12570356472796,,4.848030018761727,,12.916190707395666,True,True,True,True,True,True,True,True,True,True,True,True,True,True
svm,clf,20K,"SVM (Clf, 20K)",s,0.8622974963181149,0.9524913093858632,0.8491735537190083,0.8978700163844894,0.9371159143886416,0.1015336524300441,2.610492000356317,0,100,61.56627393225332,36.755927210254015,9.166030787738013,2.2978533676705566,8.029770687216711,2.3780860848959686,-1.2587930396149585,2.0510882974346387,-0.5646057015920025,2.4957261244133644,0.0982318271119941,,-2.2593320235756305,,5.789870703915941,1.5886277108645337,0.697431282505989,1.9435699057552804,0.2439024390243886,1.3414868408449925,0.2439024390243886,1.280423343551034,2.018640940175483,True,True,True,True,False,False,True,False,True,True,True,True,False,False
mlp,clf,20K,"MLP (Clf, 20K)",s,0.8306332842415317,0.946731234866828,0.8078512396694215,0.8717948717948718,0.9281150667514304,0.132620324005891,0.0276409997604787,0,100,59.68041237113402,42.89869989695604,23.17871713923915,,20.974493295200315,,0.0,,0.0,,0.0,,0.0,,13.18876644152151,,22.396018485602564,,15.868351454598892,,0.8448427857772584,,9.645118960193969,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tabnet,clf,20K,"TabNet (Clf, 20K)",s,0.821060382916053,0.9210220673635308,0.8192148760330579,0.8671405139420448,0.8950095359186268,0.1377829160530191,0.9269933002069592,0,100,61.79823269513991,40.60895738081742,14.353441193673447,,12.369615151034898,,11.5398124881792,,11.62086947123829,,0.0,,0.0,,11.3808472303128,,6.167955890919435,,3.559059759781892,,3.559059759781892,,7.455066094492184,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rf,reg,20K,"RF (Reg, 20K)",s,0.8247422680412371,0.8571428571428571,0.9049586776859504,0.8804020100502512,0.8740199194744649,0.1542924153166421,6.076884399633855,32,87,62.29086892488954,14.589223401235415,8.147190252453404,1.2941520091682746,4.030537714748241,1.297246121423928,15.489442420006991,2.665136496571967,14.740677881495538,2.381899456230795,5.492964556839619,2.700028808362665,5.2511967506406885,2.602033021241085,13.867642168274031,1.355484490873066,12.63717991353509,1.6119491311636958,12.86364972083456,1.0318855856071676,-8.16926241551572,1.0831594035255363,8.435121896331244,True,True,True,True,True,True,True,True,True,True,True,False,False,False
xgboost,reg,20K,"XGBoost (Reg, 20K)",s,0.8571428571428571,0.8854581673306773,0.918388429752066,0.9016227180527384,0.9100762873490148,0.1312486008836524,0.0438699000515043,19,100,64.40058910162003,18.60642040694236,10.152050241395548,2.65501726988822,6.186257958273361,2.642199030882478,3.937635426265851,1.371196586319586,4.336131105078328,1.4085149074772771,2.848741926154447,3.163935366672502,2.318519232623162,3.105440955223915,8.336090414620918,1.4285038655689288,8.336090414620918,1.1903269790801778,25.87782224571472,1.005248978075065,13.524125953333838,1.1232193732193732,8.585346491808108,True,True,True,True,True,True,True,True,True,True,True,True,True,True
lightgbm,reg,20K,"LightGBM (Reg, 20K)",s,0.8431516936671576,0.8848114169215087,0.8966942148760331,0.8907131862493587,0.91128946810765,0.1301019145802651,0.1047392999753355,15,99,64.36966126656849,18.924982320993426,13.097430103454624,2.668024790551531,10.300416251993964,2.694209025845005,2.24480324385061,1.0314903799505453,2.586775446395864,1.0941040530134056,4.440612739585681,2.433530023966242,5.490166679161357,2.497164815164145,14.916668969901334,0.8802003704594633,9.598960780520162,1.632017247540138,14.913916786226686,1.006256595306971,-5.624103299856523,1.0314022991465397,7.1965647701233735,True,True,True,True,True,True,True,True,True,True,True,False,False,False
ridge,reg,20K,"Ridge (Reg, 20K)",s,0.8195876288659794,0.8486017357762777,0.9090909090909092,0.8778054862842892,0.8803070036024583,0.1459786450662739,0.0066228997893631,0,100,63.36524300441826,18.12269668407414,11.068461507086877,0.8970961655484443,7.118874305329075,0.9022486542710833,12.908829972052269,,10.768688470931847,,49.57749610851679,,57.33266622192573,,19.27595300887077,1.026210033562975,11.587948533525132,2.0722206581581584,14.056285178236404,,7.917448405253282,,20.16126517117282,True,True,True,True,True,True,True,True,True,True,True,True,True,True
svm,reg,20K,"SVM (Reg, 20K)",s,0.8762886597938144,0.8875968992248062,0.9462809917355371,0.916,0.9350034435261708,0.1200936671575847,2.7539857998490334,8,100,65.75846833578792,19.838092395133742,6.549731470676377,1.9181213507764447,5.0978205189495975,1.9984371830432437,-0.1963832746910976,2.2290887417833614,-0.1963832746910976,1.995695848497115,-0.6301840735297715,2.560986306574211,-3.4697486736244287,2.4545719137868,11.221206270566956,1.9354784428435057,7.716780202299865,1.4621460718723884,7.133963231524214,1.1957991844644515,-1.8530725847799008,1.2796247531270573,3.137372981270071,True,True,True,True,False,False,False,False,True,True,True,False,False,False
mlp,reg,20K,"MLP (Reg, 20K)",s,0.8652430044182622,0.9179978700745474,0.890495867768595,0.9040377556371264,0.9203671328671328,0.110890795287187,0.0270640002563595,3,98,66.63549337260677,22.6353654962392,2.8929368986859294,1.2735875916581636,2.9619540011033503,1.2803856305413654,17.368342384534913,,14.104927507348917,,37.10535474568688,,43.32024064038185,,31.741725447639723,1.7157167840740075,27.726532826912653,2.770494621958644,10.435701880238623,1.1773142419562663,1.1704296609529543,1.2600811304733497,18.882814599348578,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tabnet,reg,20K,"TabNet (Reg, 20K)",s,0.8269513991163475,0.9085841694537348,0.8419421487603306,0.8739946380697051,0.8818459949141769,0.1291824005891016,1.039406199939549,30,100,65.58541973490428,22.283677683402143,14.666643807914584,11.896943760220893,14.60417429386474,13.585943684884787,18.07980677300861,2.2350913063041062,18.35656418255925,2.7976815287977748,36.74556946337837,,42.66947577147106,,-10.894824401681968,0.7366691156406536,-8.374487483461914,0.6450568307417482,1.4038570618264408,0.8124521141384125,-4.395916052183779,0.7523584905660377,12.28608634166954,True,True,True,True,True,True,True,True,False,False,True,False,False,False
rf,clf,58K,"RF (Clf, 58K)",s,0.7893961708394698,0.9128329297820824,0.7789256198347108,0.8405797101449275,0.8676043653316381,0.1519492636229749,4.0025180000811815,2,98,56.9580265095729,25.903761611382365,10.244402285782158,2.165303161133832,6.591558192761673,2.240425836466576,26.566257435767625,3.270900198987942,26.23718516643464,4.079724958623608,2.9612867119254567,2.599817929018837,3.642601649755467,2.5823202861761603,13.303748207824128,1.7292452372124232,19.87164607086776,1.9727662233516283,14.581934810173795,1.2888412017167383,-6.77258148728276,1.271654262958611,11.722803904400992,False,True,True,True,True,True,True,True,True,True,True,False,False,False
xgboost,clf,58K,"XGBoost (Clf, 58K)",s,0.8438880706921944,0.9405594405594404,0.8336776859504132,0.8838992332968236,0.917016317016317,0.1243440353460972,0.0438764998689293,0,100,62.04860088365243,42.34868925766391,23.193488802166986,,15.730847430325126,,0.0,,0.0,,0.0,,0.0,,14.03955668769422,1.2846734737289938,10.190581614008888,2.142124939700917,23.027702499247223,1.1203847906717666,-7.761216501053888,1.0053992019784157,7.842096053238855,True,True,True,True,True,True,True,True,True,True,True,False,False,False
lightgbm,clf,58K,"LightGBM (Clf, 58K)",s,0.8298969072164949,0.936094674556213,0.8171487603305785,0.8725868725868726,0.9099385463021826,0.1272901325478645,0.1078240000642836,0,100,61.32106038291605,40.69671238411757,16.035173731561304,,12.033563276697334,,0.0,,0.0,,0.0,,0.0,,8.146405590534842,0.831383685596025,6.815194077354185,1.373529833184789,10.129641836958918,1.8247126436781609,-4.848751190214605,1.9061302681992336,4.831122732289197,True,True,True,True,True,True,True,True,True,True,True,False,False,False
logreg,clf,58K,"LogReg (Clf, 58K)",s,0.7864506627393225,0.917487684729064,0.7696280991735537,0.8370786516853933,0.8744662534435262,0.1470125920471281,0.0091801998205482,0,100,58.92562592047128,33.8990910098564,13.443364296910143,1.8885720026702335,11.01162889750672,1.8630535181849053,15.804619086601676,1.3301750730521542,16.10230458187592,1.8208545829920704,0.0,,0.0,,-17.665560020968023,1.2372028900405934,-16.37253188886947,0.5861004505256132,-2.841337691727423,,-2.841337691727423,,1.664114956960212,True,True,True,True,True,True,True,True,False,False,False,False,False,False
svm,clf,58K,"SVM (Clf, 58K)",s,0.8490427098674521,0.9441210710128056,0.8378099173553719,0.8877941981390257,0.9297520661157024,0.1092387334315169,4.090937600005418,0,100,61.81590574374079,38.99760175810308,11.83370283529158,2.013220158978056,9.337084388070876,2.020048400324172,22.40722879333977,1.5793438893934322,18.06690694959136,2.604705454493329,0.0,,0.0,,-5.998125585754441,1.8498213974560032,-5.998125585754441,1.477702380952381,-1.2908067542213817,1.5933653080310128,-4.360225140712936,1.546252914541089,4.399763989985038,True,True,True,True,True,True,True,True,False,False,False,False,False,False
mlp,clf,58K,"MLP (Clf, 58K)",s,0.853460972017673,0.9364358683314415,0.8522727272727273,0.8923742563547864,0.9188612523839796,0.1133157584683357,0.0291559998877346,0,100,63.855670103092784,40.741649047547824,17.232218424635185,,15.394505084789335,,37.185445944831,,36.277880146310615,,0.0,,0.0,,11.33757290884913,,11.33757290884913,,3.377601838845613,,-1.8452304941897515,,13.029756676292024,True,True,True,True,True,True,True,True,True,True,True,False,False,False
tabnet,clf,58K,"TabNet (Clf, 58K)",s,0.8070692194403535,0.9263285024154588,0.7923553719008265,0.8541202672605791,0.898197446492901,0.1418745949926362,0.9153956002555786,0,100,59.44550810014727,39.69322222648616,18.92069670838627,,17.283450022076245,,0.0,,0.0,,0.0,,0.0,,7.743946295852321,,6.462612216628048,,-8.76833067396094,,-8.76833067396094,,3.2874043895020995,True,True,True,True,True,True,True,True,True,True,False,False,False,False
rf,reg,58K,"RF (Reg, 58K)",s,0.8122238586156112,0.837914691943128,0.9132231404958676,0.8739495798319328,0.8654693791057427,0.1518467599410898,6.115331600420177,32,87,63.924153166421206,15.022986505568586,8.371198435030788,1.7616556806888135,3.5273851364420987,1.8174220071249256,25.997410275830063,4.164626004639142,26.31501795704967,6.368526351599144,4.501535465508202,2.6068182400270907,4.801138491498769,2.586694582461786,24.189339327700704,1.331740603431515,22.94654161176137,1.8068398503819512,10.666181288678567,0.937820105820106,-7.200582453585726,1.1357682942458032,12.411516553591449,False,True,True,True,True,True,True,True,True,True,True,False,False,False
xgboost,reg,58K,"XGBoost (Reg, 58K)",s,0.8505154639175257,0.8844221105527639,0.9090909090909092,0.8965868568517575,0.9030395740623014,0.1329656848306333,0.0462278998456895,21,100,64.56848306332843,18.545234494100395,16.067267278025824,3.5400473590844848,11.589963860531984,3.724915562264159,22.271155233758805,3.354638408905628,22.022343310691458,4.436818971596079,1.7075362690974485,2.220210316753729,1.0912825779946096,2.270612220223352,3.211312641270196,0.8160373055281273,7.18892992998512,0.939545763918588,5.718322427126713,1.0273913790142537,-9.488399762046395,1.0259874791694814,8.137971376643574,True,True,True,True,True,True,True,True,True,True,True,False,False,False
lightgbm,reg,58K,"LightGBM (Reg, 58K)",s,0.8608247422680413,0.896236012207528,0.9101239669421488,0.903126601742696,0.9062764886628524,0.1315383652430044,0.1043308000080287,20,100,64.52945508100147,18.502683039862305,9.673421244061096,2.052307189852686,5.2688500820175,2.0810794699124835,14.268139528923292,2.396926366352925,14.21687982161622,2.951099742919029,3.185041908446165,2.3646342567129777,2.308188265635086,2.41397005185766,24.78997164285904,1.3999579600620589,13.317255452786686,1.5686683770346856,20.828493999225717,0.944732485020834,-14.006968641114977,0.8996534879786491,9.384927330445581,True,True,True,True,True,True,True,True,True,True,True,False,False,False
